Question_Type,Answer_Type,Topic_Number,Variation,Question,Correct_Answer_1,Correct_Answer_2,Correct_Answer_3,Correct_Answer_4,Wrong_Answer_1,Wrong_Answer_2,Wrong_Answer_3,Time_in_seconds,Difficulty_Level,Question_IAV,ContributorMail,Solution_text,Solution_IAV
text,1,30203,v8,"Solve for x, $\frac{34}{x}$$= 8$",4.25,,,,272,26,0.235294118,60,3,,,"solution: 
$\frac{34}{x}$$=8$
$x = $$\frac{34}{8}$(Multiplying by x on both sides)
$x = 4.25$",
text,1,30203,v8,"Solve for x, $\frac{32}{x}$$= 4$",8,,,,128,28,0.125,60,3,,,"solution: 
$\frac{32}{x}$$=4$
$x = $$\frac{32}{4}$(Multiplying by x on both sides)
$x = 8.0$",
text,1,30203,v8,"Solve for x, $\frac{26}{x}$$= 8$",3.25,,,,208,18,0.307692308,60,3,,,"solution: 
$\frac{26}{x}$$=8$
$x = $$\frac{26}{8}$(Multiplying by x on both sides)
$x = 3.25$",
text,1,30203,v8,"Solve for x, $\frac{22}{x}$$= 10$",2.2,,,,220,12,0.454545455,60,3,,,"solution: 
$\frac{22}{x}$$=10$
$x = $$\frac{22}{10}$(Multiplying by x on both sides)
$x = 2.2$",
text,1,30203,v8,"Solve for x, $\frac{36}{x}$$= 6$",6,,,,216,30,0.166666667,60,3,,,"solution: 
$\frac{36}{x}$$=6$
$x = $$\frac{36}{6}$(Multiplying by x on both sides)
$x = 6.0$",
text,1,30203,v8,"Solve for x, $\frac{28}{x}$$= 4$",7,,,,112,24,0.142857143,60,3,,,"solution: 
$\frac{28}{x}$$=4$
$x = $$\frac{28}{4}$(Multiplying by x on both sides)
$x = 7.0$",
text,1,30203,v8,"Solve for x, $\frac{40}{x}$$= 6$",6.66,,,,240,34,0.15,60,3,,,"solution: 
$\frac{40}{x}$$=6$
$x = $$\frac{40}{6}$(Multiplying by x on both sides)
$x = 6.66$",
text,1,30203,v8,"Solve for x, $\frac{30}{x}$$= 8$",3.75,,,,240,22,0.266666667,60,3,,,"solution: 
$\frac{30}{x}$$=8$
$x = $$\frac{30}{8}$(Multiplying by x on both sides)
$x = 3.75$",
text,1,30203,v8,"Solve for x, $\frac{30}{x}$$= 10$",3,,,,300,20,0.333333333,60,3,,,"solution: 
$\frac{30}{x}$$=10$
$x = $$\frac{30}{10}$(Multiplying by x on both sides)
$x = 3.0$",
text,1,30203,v8,"Solve for x, $\frac{40}{x}$$= 8$",5,,,,320,32,0.2,60,3,,,"solution: 
$\frac{40}{x}$$=8$
$x = $$\frac{40}{8}$(Multiplying by x on both sides)
$x = 5.0$",
text,1,30203,v8,"Solve for x, $\frac{30}{x}$$= 12$",2.5,,,,360,18,0.4,60,3,,,"solution: 
$\frac{30}{x}$$=12$
$x = $$\frac{30}{12}$(Multiplying by x on both sides)
$x = 2.5$",
text,1,30203,v8,"Solve for x, $\frac{40}{x}$$= 4$",10,,,,160,36,0.1,60,3,,,"solution: 
$\frac{40}{x}$$=4$
$x = $$\frac{40}{4}$(Multiplying by x on both sides)
$x = 10.0$",
text,1,30203,v8,"Solve for x, $\frac{24}{x}$$= 8$",3,,,,192,16,0.333333333,60,3,,,"solution: 
$\frac{24}{x}$$=8$
$x = $$\frac{24}{8}$(Multiplying by x on both sides)
$x = 3.0$",
text,1,30203,v8,"Solve for x, $\frac{24}{x}$$= 10$",2.4,,,,240,14,0.416666667,60,3,,,"solution: 
$\frac{24}{x}$$=10$
$x = $$\frac{24}{10}$(Multiplying by x on both sides)
$x = 2.4$",
text,1,30203,v8,"Solve for x, $\frac{38}{x}$$= 6$",6.33,,,,228,32,0.157894737,60,3,,,"solution: 
$\frac{38}{x}$$=6$
$x = $$\frac{38}{6}$(Multiplying by x on both sides)
$x = 6.33$",
