Question_Type,Answer_Type,Topic_Number,Variation,Question,Correct_Answer_1,Correct_Answer_2,Correct_Answer_3,Correct_Answer_4,Wrong_Answer_1,Wrong_Answer_2,Wrong_Answer_3,Time_in_seconds,Difficulty_Level,Question_IAV,ContributorMail,Solution_text,Solution_IAV
text,1,030203,v1,"('Solve for x, ', '$4x - 4 = 6$')",2.5,,,,0.5,6,40,60,3,,2018.hemkesh.raina@ves.ac.in,"solution: 
$4x - 4 = 6$
$4x = 6 + 4$ (adding 4 to both sides)
$4x = 10$
$x = \dfrac{10}{4}$ (dividing by 4 in both sides)
$x = 2.5$
",
text,1,030203,v1,"('Solve for x, ', '$10x - 22 = 34$')",5.6,,,,1.2,46,560,60,3,,2018.hemkesh.raina@ves.ac.in,"solution: 
$10x - 22 = 34$
$10x = 34 + 22$ (adding 22 to both sides)
$10x = 56$
$x = \dfrac{56}{10}$ (dividing by 10 in both sides)
$x = 5.6$
",
text,1,030203,v1,"('Solve for x, ', '$12x - 8 = 18$')",2.1666666666666665,,,,0.8333333333333334,14,312,60,3,,2018.hemkesh.raina@ves.ac.in,"solution: 
$12x - 8 = 18$
$12x = 18 + 8$ (adding 8 to both sides)
$12x = 26$
$x = \dfrac{26}{12}$ (dividing by 12 in both sides)
$x = 2.1666666666666665$
",
text,1,030203,v1,"('Solve for x, ', '$12x - 18 = 30$')",4.0,,,,1.0,36,576,60,3,,2018.hemkesh.raina@ves.ac.in,"solution: 
$12x - 18 = 30$
$12x = 30 + 18$ (adding 18 to both sides)
$12x = 48$
$x = \dfrac{48}{12}$ (dividing by 12 in both sides)
$x = 4.0$
",
text,1,030203,v1,"('Solve for x, ', '$12x - 14 = 28$')",3.5,,,,1.1666666666666667,30,504,60,3,,2018.hemkesh.raina@ves.ac.in,"solution: 
$12x - 14 = 28$
$12x = 28 + 14$ (adding 14 to both sides)
$12x = 42$
$x = \dfrac{42}{12}$ (dividing by 12 in both sides)
$x = 3.5$
",
text,1,030203,v1,"('Solve for x, ', '$8x - 20 = 28$')",6.0,,,,1.0,40,384,60,3,,2018.hemkesh.raina@ves.ac.in,"solution: 
$8x - 20 = 28$
$8x = 28 + 20$ (adding 20 to both sides)
$8x = 48$
$x = \dfrac{48}{8}$ (dividing by 8 in both sides)
$x = 6.0$
",
text,1,030203,v1,"('Solve for x, ', '$8x - 22 = 10$')",4.0,,,,-1.5,24,256,60,3,,2018.hemkesh.raina@ves.ac.in,"solution: 
$8x - 22 = 10$
$8x = 10 + 22$ (adding 22 to both sides)
$8x = 32$
$x = \dfrac{32}{8}$ (dividing by 8 in both sides)
$x = 4.0$
",
text,1,030203,v1,"('Solve for x, ', '$2x - 16 = 32$')",24.0,,,,8.0,46,96,60,3,,2018.hemkesh.raina@ves.ac.in,"solution: 
$2x - 16 = 32$
$2x = 32 + 16$ (adding 16 to both sides)
$2x = 48$
$x = \dfrac{48}{2}$ (dividing by 2 in both sides)
$x = 24.0$
",
text,1,030203,v1,"('Solve for x, ', '$6x - 12 = 2$')",2.3333333333333335,,,,-1.6666666666666667,8,84,60,3,,2018.hemkesh.raina@ves.ac.in,"solution: 
$6x - 12 = 2$
$6x = 2 + 12$ (adding 12 to both sides)
$6x = 14$
$x = \dfrac{14}{6}$ (dividing by 6 in both sides)
$x = 2.3333333333333335$
",
text,1,030203,v1,"('Solve for x, ', '$8x - 12 = 14$')",3.25,,,,0.25,18,208,60,3,,2018.hemkesh.raina@ves.ac.in,"solution: 
$8x - 12 = 14$
$8x = 14 + 12$ (adding 12 to both sides)
$8x = 26$
$x = \dfrac{26}{8}$ (dividing by 8 in both sides)
$x = 3.25$
",
